,Year,Month,Rainfall,Station_Ambagan_ctg,Station_Barisal,Station_Bhola,Station_Bogra,Station_Chandpur,Station_Chittagong,Station_Comilla,Station_CoxsBazar,Station_Dhaka,Station_Dinajpur,Station_Faridpur,Station_Feni,Station_Hatiya,Station_Ishurdi,Station_Jessore,Station_Khepupara,Station_Khulna,Station_Kutubdia,Station_M.court_x,Station_M.court_y,Station_Madaripur,Station_Mongla,Station_Mymensingh,Station_Patuakhali,Station_Rajshahi,Station_Rangamati,Station_Rangpur,Station_Sandwip,Station_Satkhira,Station_Sitakunda,Station_Srimangal,Station_Sylhet,Station_Tangail,Station_Teknaf
0,1970,1,367,,0,0.0,0.0,0.0,1.0,20.0,0,16.0,42.0,12,,0.0,73,31.0,,0.0,,16.0,16.0,,,23.0,,,6,29.0,0.0,0,,36.0,62.0,,
1,1970,2,531,,24,26.0,0.0,0.0,20.0,9.0,40,8.0,0.0,15,,64.0,25,30.0,,0.0,,65.0,65.0,,,0.0,,,54,6.0,27.0,47,,6.0,65.0,,
2,1970,3,484,,5,4.0,0.0,13.0,2.0,63.0,0,23.0,1.0,25,,6.0,30,45.0,,0.0,,5.0,5.0,,,6.0,,,15,5.0,57.0,22,,97.0,60.0,,
3,1970,4,2038,,91,70.0,0.0,71.0,40.0,134.0,69,45.0,76.0,68,,44.0,1,87.0,,51.0,,217.0,217.0,,,117.0,,,38,39.0,231.0,4,,79.0,466.0,,
4,1970,5,3598,,124,69.0,113.0,57.0,158.0,187.0,331,192.0,74.0,173,,131.0,116,29.0,,129.0,,127.0,127.0,,,176.0,,,111,162.0,150.0,59,,79.0,851.0,,
5,1970,6,9105,,408,402.0,506.0,387.0,313.0,129.0,578,276.0,253.0,308,,468.0,236,352.0,,548.0,,574.0,574.0,,,570.0,,,274,527.0,327.0,296,,418.0,955.0,,
6,1970,7,13796,,530,233.0,629.0,433.0,1041.0,546.0,1424,496.0,586.0,382,,584.0,168,415.0,,634.0,,692.0,692.0,,,323.0,,,1276,503.0,812.0,356,,657.0,1076.0,,
7,1970,8,7796,,317,287.0,171.0,172.0,405.0,240.0,598,280.0,126.0,291,,512.0,378,280.0,,270.0,,696.0,696.0,,,207.0,,,326,440.0,597.0,274,,267.0,662.0,,
8,1970,9,7400,,571,503.0,201.0,208.0,317.0,37.0,308,200.0,217.0,433,,521.0,340,490.0,,115.0,,554.0,554.0,,,242.0,,,200,242.0,282.0,377,,420.0,622.0,,
9,1970,10,6521,,253,288.0,164.0,238.0,380.0,284.0,458,427.0,48.0,413,,389.0,364,339.0,,190.0,,569.0,569.0,,,274.0,,,155,39.0,428.0,0,,213.0,608.0,,
